scenario_id,description,rater_id,human_overall(HIGH/MEDIUM/LOW),human_annex22(Critical/Significant/Non-critical),llm_in_critical_stop(Y/N),dynamic_in_critical_stop(Y/N)
S01,A fine-tuned LLM drafts Module 3 regulatory submission sections; outputs flow into the submission dossier (a GxP record). A human reviews but does not check every citation. The model is periodically retrained on new submissions. Data: GxP records.,,,,,
S02,"A locked, configured ML classifier flags out-of-spec results in QC; a human reviews and approves each flag before any batch decision; outputs are recorded in the QMS. Data: GxP records.",,,,,
S03,A continuously-learning predictive-maintenance model forecasts equipment failure on a non-GxP utility system; advisory only; no GxP records affected. Data: internal non-GxP.,,,,,
S04,A fine-tuned LLM automatically generates batch-release recommendations that act on GxP records without mandatory human review. Locked model. Data: GxP records.,,,,,
S05,An off-the-shelf LLM triages incoming deviations and suggests a category; advisory; outputs are NOT entered into GxP records (informal use); could influence quality judgment. Locked. Data: internal.,,,,,
S06,An off-the-shelf LLM answers employee questions about SOPs (a knowledge assistant). No patient-safety/product-quality/data-integrity impact; no GxP records; advisory. Locked. Data: internal.,,,,,
S07,A custom-built demand-forecasting model for commercial supply planning; no GxP impact; no GxP records; locked. Data: public/aggregate.,,,,,
S08,"A custom computer-vision model performs automated visual inspection of filled vials and automatically rejects units, acting on GxP batch records without per-unit human review. Locked. Data: GxP records.",,,,,
S09,"A fine-tuned, continuously-learning ML model predicts dosing for clinical decision support; a clinician reviews each recommendation; outputs are not auto-entered into GxP records but influence patient safety. Data: personal/PHI.",,,,,
S10,A configured LLM drafts CAPA records that are entered into the QMS after advisory human review; affects product quality/data integrity. Locked. Data: GxP records.,,,,,
S11,A rule-based (non-AI/deterministic) automation bot transfers values between systems and writes to GxP records automatically; no ML model. Data: GxP records.,,,,,
S12,An off-the-shelf LLM summarizes published scientific literature for a research team; no GxP impact; no GxP records; advisory; locked. Data: public.,,,,,
S13,"An agentic AI tool auto-generates and executes computer-system-validation (CSV) protocols; it uses tools to pull system information and writes results into the validation record; a validation lead reviews and approves. Configured LLM, agentic, locked. Data: GxP records.",,,,,
S14,"An agentic LLM continuously scans public FDA enforcement actions, warning letters, and guidance to flag supplier risk and inspection-readiness gaps; advisory; outputs inform quality decisions but are not auto-entered into GxP records. Data: public/external.",,,,,
S15,"A custom, continuously-learning agentic AI autonomously adjusts critical process parameters on the live manufacturing line in real time, using tools to act on the MES without per-action human review ('self-healing'). Data: GxP records.",,,,,
S16,Soft-sensor predicts product potency in continuous manufacturing; advisory to operators. Build: custom predictive; data: gxp_records.,,,,,
S17,Multivariate statistical process control flags batch excursions; human reviews. Build: configured ml; data: gxp_records.,,,,,
S18,Advanced process control autonomously adjusts a non-critical utility loop. Build: custom ml; data: internal.,,,,,
S19,LLM converts master batch records into electronic batch records; QA approves. Build: configured llm; data: gxp_records.,,,,,
S20,Agentic assistant drafts a deviation investigation and pulls prior cases via tools. Build: cots llm (agentic/tool-using); data: internal.,,,,,
S21,Pharmacovigilance signal-detection ML over adverse-event data; advisory. Build: configured ml; data: personal_phi.,,,,,
S22,LLM auto-codes ICSR adverse events into the safety database automatically. Build: finetuned llm; data: personal_phi.,,,,,
S23,Vision model detects particulates in vials; flags for human inspector. Build: custom ml; data: gxp_records.,,,,,
S24,Agentic vision system auto-rejects vials and updates MES with no human review. Build: custom ml (agentic/tool-using); data: gxp_records.,,,,,
S25,LLM chatbot answers GMP training questions for operators; advisory. Build: cots llm; data: internal.,,,,,
S26,OCR+LLM extracts CoA values from supplier PDFs into LIMS automatically. Build: configured llm; data: gxp_records.,,,,,
S27,LLM drafts SOP revisions for author review; not entered until approved. Build: cots llm; data: internal.,,,,,
S28,Agentic tool monitors public FDA enforcement to score supplier risk; advisory. Build: cots llm (agentic/tool-using); data: public.,,,,,
S29,Predictive maintenance ML on GMP autoclaves writes work orders to the CMMS. Build: cots predictive; data: gxp_records.,,,,,
S30,LLM summarizes stability data into a report section; statistician reviews. Build: configured llm; data: gxp_records.,,,,,
S31,Generative model designs DoE experiments for process development; advisory. Build: finetuned llm; data: internal.,,,,,
S32,"Agentic LLM orchestrates sub-agents to assemble an IND module, auto-submits draft. Build: finetuned llm (agentic/tool-using); data: gxp_records.",,,,,
S33,ML classifies environmental-monitoring excursions; microbiologist approves. Build: configured ml; data: gxp_records.,,,,,
S34,LLM triages complaints and proposes severity; auto-files into complaint system. Build: cots llm; data: gxp_records.,,,,,
S35,Demand-forecasting ML for commercial planning; no GxP impact. Build: cots predictive; data: public.,,,,,
S36,Agentic CSV tool generates and executes IQ/OQ protocols into the validation record. Build: finetuned llm (agentic/tool-using); data: gxp_records.,,,,,
S37,LLM cleaning-validation calculator; QA verifies every result. Build: configured llm; data: gxp_records.,,,,,
S38,"Continuously-learning model optimizes lyophilization cycle in real time, acts on PLC. Build: custom ml (agentic/tool-using); data: gxp_records.",,,,,
S39,LLM drafts annual product review narrative; QA reviews before use. Build: configured llm; data: gxp_records.,,,,,
S40,"Knowledge assistant over public guidance documents; advisory, no records. Build: cots llm; data: public.",,,,,
S41,ML predicts dissolution from process params; advisory to formulators. Build: finetuned ml; data: internal.,,,,,
S42,Agentic batch-release assistant checks the record and recommends disposition; QP signs. Build: finetuned llm (agentic/tool-using); data: gxp_records.,,,,,
S43,Generative tool writes marketing copy (non-GxP). Build: cots llm; data: public.,,,,,
S44,LLM extracts and reconciles values across an executed batch record; QA reviews flags. Build: configured llm; data: gxp_records.,,,,,
S45,Adaptive APC adjusts critical process parameters with operator confirmation each change. Build: custom ml; data: gxp_records.,,,,,
S46,Agentic data-integrity auditor scans audit trails and opens deviations automatically. Build: configured llm (agentic/tool-using); data: gxp_records.,,,,,
S47,LLM translates a regulatory dossier between languages; human verifies. Build: cots llm; data: gxp_records.,,,,,
S48,ML supplier-risk scoring from internal quality history; advisory. Build: configured ml; data: internal.,,,,,
S49,Locked LLM drafts CAPA effectiveness checks; QA approves and records. Build: configured llm; data: gxp_records.,,,,,
S50,Research literature-mining agent for discovery scientists; non-GxP. Build: cots llm (agentic/tool-using); data: public.,,,,,
